et    and, and even
initium    beginning, commencement
infinitas    limitless extent
iners    helpless, weak, inactive, inert, sluggish, stagnant
indignor    deem unworthy, scorn, regard with indignation, resent, be indignant
indignus    unworthy, undeserving, undeserved
indifferens    indifferent
experientia    trial, experiment
exemplo    adduce/serve as example/model/pattern
excogito    think out
excedo    pass, withdraw, exceed
evanesco    vanish/disappear
etsi    although, though, even if
ethice    ethics
enumero    count up, pay out
ejusmodi    of this sort
ebrius    drunk, intoxicated
ebrietas    drunkenness, intoxication
duplum    double
dubium    doubt
donum    gift, present
dogma    doctrine, defined doctrine
discordia    disagreement, discord
diminuo    lessen, diminish
dii    god
conatus    attempt, effort
compositio    arrangement, combination
commodum    convenience, advantage, benefit
comminisco    devise, think up, invent
comito    accompany, go along with
comedo    eat up/away, chew up
cohibeo    hold together, contain
cognitus    known (from experience/carnally)), tried/proved
coeo    fit together
coactum    thick/fulled covering
clemens    merciful/loving
civis    fellow citizen
circumferentia    circumference
circito    go round as a hawker/peddler/solicitor
cibus    food
charta    paper/papyrus (sheet)
cesso    be remiss/inactive
cedo    go/pass (from/away)
cautio    bail/pledge/security, undertaking, guarantee
carpo    seize/pick/pluck/gather/browse/tear off
careo    be without/absent from/devoid of/free from
capitum    fodder for cattle
capax    large, spacious, roomy, big
caecus    blind
cadaver    corpse, cadaver, dead body
benevolens    kind, friendly, benevolent, well-wishing, kind-hearted
beneplaceo    please
bellum    war, warfare
audio    hear, listen, accept, agree with
audeo    intend, be prepared
auctor    seller, vendor
attendo    turn/stretch towards
assigno    assign, distribute, allot
assentio    assent, approve, agree in opinion
aspicio    look/gaze on/at, see, observe, behold, regard
aspectus    appearance, aspect, mien
arcte    closely/tightly (bound/filled/holding)
applico    apply, put in practice
appetitus    appetite, desire
appendix    appendix, supplement, annex
aperio    uncover, open, disclose
annus    year (astronomical/civil)
anima    soul, spirit, vital principle
amplus    great, large, spacious, wide, ample
amplector    surround, encircle, embrace, clasp
amoveo    move/take/put away, remove, steal
amitto    lose
amb    both
ambitiosus    ambitious, eager to please/for advancement/favor
amasia    female lover
aliquatenus    for a certain/restricted distance/time/degree/extent
alimentum    food/nourishment, provisions
alienum    another's property/land/possessions
album    white (color)
agito    stir/drive/shake/move about
assum    be near, be present, be in attendance, arrive, appear
affirmo    affirm/assert (dogmatically/positively)
affero    bring to (word/food), carry, convey
aetas    lifetime, age, generation
aequo    level, make even/straight
aemulatio    rivalry, ambition
aedificium    building
adulo    fawn upon (as a dog)
adhibeo    summon, invite, bring in
adfero    bring to, carry, convey
actualis    active, practical
accipio    take, grasp, receive, accept, undertake
abstineo    withhold, keep away/clear
absens    absent, missing, away, gone
abjectio    dejection
aberro    stray, wander, deviate
zelotypia    jealousy
vultus    face, expression
vulgo    spread around/among the multitude
volo    fly
vox    voice, tone, expression
vividus    lively, vigorous spirited lifelike
vireo    be green or verdant
viginti     20 - (CARD answers 'how many')
vigeo    be strong/vigorous
victus    living, way of life
victor    conqueror
vicinus    neighbor
naris    nostril
via    way, road, street
vespera    evening, even-tide
vesanus    mad, frenzied
verto    turn, turn around
vernaculus    domestic, homegrown
verbero    beat, strike, lash
venero    adore, revere, do homage to, honor, venerate
venenum    poison
venaticus    for hunting
vena    blood-vessel, vein
venor    hunt
variatio    divergence of behavior
valetudo    good health, soundness
vagus    roving, wandering
uxor    wife
utor    use, make use of, enjoy
oro    beg, ask for, pray
usurpo    seize upon, usurp
usitor    make usual/common/habitual use of
universus    whole world
universalus    universal, having general application
universus    whole, entire
unus    alone, a single/sole
unio    large single pearl
unda    wave
ultimum    extremely, to the last degree, utterly
ulciscor    avenge
tyrannis    tyranny
tyrannus    tyrant
tuto    guard, protect, defend
turris    tower
turbo    disturb, agitate, throw into confusion
tunc    then, thereupon, at that time
tribus    third part of the people
triangulum    triangle
tremo    tremble, shake, shudder at
transigo    stab, pierce
transcendentalis    transcendental
tranquillum    calm weather
tragoedia    tragedy
trado    hand over, surrender
traduco    bring across/over, move/transfer
tractatus    dealing w/problem/subject/treatment
totidem    as many
torvus    pitiless, grim
titillatio    tickling
timidus    timid
thus    frankincense
tero    rub, wear away, wear out
theatrum    theater
testimonium    testimony
testum    earthenware pot/vessel (esp. placed as lid over food and heaped with coals)
terreo    frighten, scare, terrify, deter
terminus    boundary, limit, end
tenuitas    thinness/fineness/leanness
tento    handle, feel
tenebra    darkness (pl.), obscurity
templum    temple, church
tempestas    season, time, weather
temperantia    self control
temerarius    casual, rash, accidental
telum    dart, spear
taedium    weariness
taceo    be silent
tactus    touch, sense of touch
sympathia    feeling in common
suffero    bear, endure, suffer
sustento    endure, hold out
suspicio    suspicion
pensio    payment, installment, pension
suscipio    undertake
surdus    deaf, unresponsive to what is said
superus    above, high
supplicium    punishment, suffering
suppedito    be/make available when/as required, supply with/needs (of)
supervacaneus    redundant
superstruo    build over
superstitiosus    superstitious, full of unreasoning religious awe
supersedeo    refrain (from), desist (from)
supernaturalis    supernatural
superbio    show/have (too much) pride/disdain (to)
sumo    take up
suffundo    pour in/on
succedo    climb
submissus    stooping
subjicio    throw under, place under
stupor    numbness, torpor
stupesco    become amazed
stultitia    folly, stupidity
strepo    make a loud noise
stomachus    gullet
Stoicus    Stoic
stimulus    spur/goad
status    position, situation, condition
speculatio    watching (shows/entertainment)
speciosus    beautiful/handsome/good-looking
sopio    cause to sleep, render insensible by a blow or sudden shock
sonus    noise, sound
somnus    sleep
somnium    dream, vision
sollicitus    concerned, worried
solitudo    solitude, loneliness
solitaria    hermit/anchorite (female)
solidus    solid
solidum    solid figure
solamen    source of comfort, solace
socius    associate, companion
socialis    allied, confederate, of allies
sobrius    sober
singulus    apiece (pl.)
singulariter    separately/singly, one by one
sin    but if
simpliciter    simply/just
silentium    silence
sigillatim    one by one, singly, separately
servus    slave
servio    serve
sermo    conversation, discussion
series    row, series, secession, chain, train, sequence, order (gen lacking, no pl.)
separo    divide, distinguish
semen    seed
segrego    remove, separate
segmentum    cutting, shred
seditio    sedition, riot, strife,rebellion
sedeo    sit, remain
sedo    settle, allay
secor    follow
secus    sex
secum    suet
sector    follow continually
seco    cut, sever
scrupulus    small stone
scriptor    writer, author
scribo    write
scholasticus    student/teacher, one who attends school
scepticismus    scepticism
satyrion    -ic
satius    better, more serviceable/satisfactory
satisfacio    give satisfactory insurance (to) or (that)
sapor    taste, flavor
sapidus    prudent
sanguis    blood
sagacitas    keenness (of scent/senses)
saevitia    rage, fierceness, ferocity
sacer    sacred, holy, consecrated
rusticus    peasant, farmer
ruber    red, ruddy, painted red
romanus    Roman
rogo    ask, ask for
risibilis    that can laugh
revoco    call back, recall
reverto    turn back, go back, return
reverentia    respect, deference, restraint
reus    party in law suit
retorqueo    twist back
retineo    hold back, restrain
retendo    slacken
restinguo    extinguish, quench, put out
restauro    restore (condition)
resisto    pause
requiro    require, seek, ask for
repello    drive/push/thrust back/away
reprimo    press back, repress
reprehendo    hold back, seize, catch
repetitio    repetition
remuneratio    repaying, making payment in return
remedium    remedy, cure
relatio    laying of matter before Senate, such motion
rejicio    throw back
regero    carry back
refuto    check
reformido    dread
reficio    rebuild, repair, restore
reduco    lead back, bring back
redigo    drive back
recurro    run or hasten back
recupero    regain, restore, restore to health
rector    guide, director, helmsman
rectus    right, proper
recreo    restore, revive
recolligo    recover, gather again, collect
reclamo    cry out in protest at
reciprocatio    returning
recipio    keep back
receptum    obligation
recenseo    review/examine/survey
rationalis    rational, of/possessing reason
ratiocinium    accounting
ratiocinor    compute, calculate
radius    ray
radico    take root
quousque    until what time?  till when?  how long?
quotidianus    daily, everyday
quocirca    on account of which
qu    PACKON w/quis =>  any
quattuor     4th - (ORD, 'in series')
quantumvis    to as great a degree as you like, as much/long as you like
qualitas    character/nature, essential/distinguishing quality/characteristic
qualus    wicker basket
qualis    what kind/sort/condition (of)
quaestio    questioning, inquiry
quadro    square up, make square/suitable
putridus    rotten, decayed
putrefacio    cause to rot/decay, putrefy
pusillanimis    fainthearted, timid, pusillanimous
pulchritudo    beauty, excellence
pulcher    pretty
pugno    fight
pugna    battle, fight
publicus    public
prudens    aware, skilled
provideo    foresee
proverbium    proverb, saying
provectus    advanced, late
protendo    stretch out/forth, extend, distend
prostituo    prostitute
prospicio    foresee
propulso    repulse, drive back/off
proportio    proportion, proper spatial relation between parts
proportionalis    proportional
propheta    prophet
propensio    consideration
propello    drive forward/forth
pronus    leaning forward
promiscuus    common, shared general, indiscriminate
prolixitas    extent
profero    bring forward
projicio    throw down, throw out
prohibeo    hinder, restrain
progredior    go, come forth, go forward, march forward
profundus    deep, profound
prosum    be useful, be advantageous, benefit, profit (with DAT)
profanus    secular, profane
proclamo    call/cry out, raise an outcry
probrum    disgrace
probus    good, honest
probo    approve (of), esteem/commend/recommend/certify
pri    ahead, in front, leading
principium    beginning
primarius    in the first rank, distinguished
prehendo    catch/capture
praetermitto    let pass
~E    feed, feed on
nutrio    suckle. breast feed
nuper    recently, not long ago
nunc    now, today, at present
nummus    coin
numero    count, add up, reckon/compute
numen    divine will, divinity
nugatorius    trifling, worthless, futile, paltry
noxia    crime, fault
novitas    newness
novus    new, fresh, young
notus    well known, familiar, notable, famous, esteemed
notio    judicial examination or enquiry
norma    carpenter's square
nolo    be unwilling
nox    night [prima nocte => early in the night
niteo    shine, glitter, look bright
nitor    press/lean upon
nihilum    nothing
ni    if ...  not
nervus    sinew/muscle/nerve
necessitudo    obligation
nebula    mist, fog
nae    truely, indeed, verily, assuredly
mutus    dumb, silent, mute
mutuus    borrowed, lent
mundus    universe, heavens
multitudo    multitude, great number
multiplex    having many twists/turns
thesis    proposition, thesis
mathesis    maths
mathematicus    mathematician
mas    male (human/animal/plant)
maneo    remain, stay, abide
mando    entrust, commit to one's charge, deliver over
mando    chew, champ, masticate, gnaw
malefacio    do evil/wrong/harm/injury/mischief
magnopere    greatly, exceedingly
magnificus    splendid/excellent/sumptuous/magnificent/stately
magister    teacher, tutor, master, expert, chief
maculo    spot
macto    magnify, honor
luxuries    luxury, extravagance, thriving condition
lux    light, daylight, light of day
lugeo    mourn, grieve (over)
ludus    game, play, sport, pastime, entertainment, fun
luculentus    shining, bright, brilliant, splendid
lucrum    gain, profit
lucus    grove
logicus    logical
livor    bluish discoloration (produced by bruising, etc)
liqueo    be in molten/liquid state
liceo    fetch (price)
liber    book, volume
liber    free (man)
leviter    lightly/gently/softly/quietly/mildly
levo    lift up
letifer    deadly
lepor    charm, pleasantness
leo    lion
lento    bend under strain
legitimus    lawful, right
lego    bequeath, will
lector    reader
lectus    bed, couch, lounge, sofa
latro    bark, bark at
lateo    lie hidden, lurk
largiter    in abundance, plentifully, liberally, much
largitas    abundance (of) (w/GEN)
lapis    stone
deitas    diety
lanx    plate, dish
levis    light, thin, trivial, trifling, slight
laedo    strike
lac    milk
labor    labor/toil/exertion/effort/work
laboro    work, labor
juxta    nearly
justitia    justice
jurgium    quarrel, dispute
jucundus    pleasent/agreeable/delightful/pleasing (experience/person/senses)
jocus    joke, jest
jacto    throw away, throw out, throw, jerk about
irrideo    ridicule, mock, make fun of
irrational    unreasoning creature
irascor    get angry, fly into a rage
invitus    reluctant
invetero    make old, give age to
inverto    turn upside down
introduco    introduce, bring/lead in
intrepidus    undaunted, fearless, untroubled
interpres    interpreter, translator
interpreto    explain/expound
interpono    insert, introduce
intermedius    intermediate
intereo    perish, die
intelligentia    intelligence
intellego    understand
integer    fresh troops (pl.)
insipidus    tasteless
insignio    mark with a characteristic feature
insignis    conspicuous, manifest, eminent, notable, famous, distinguished, outstanding
inseco    cut, incise
inscribo    write on/in
insatiabilis    insatiable
insanus    mad, raging, insane, demented
inopia    lack, need
inobedio    disobey
injicio    hurl/throw/strike in/into
iniquus    unjust, unfair
inimicitia    unfriendliness, enmity, hostility
inhumanus    rude, discourteous, churlish
ingurgito    pour in liquid in a flood
ingratus    unpleasant
ingens    not natural, immoderate
ingeno    engender
infortunium    misfortune, punishment
infi    lowest, deepest, furtherest down/from the surface
infelix    unfortunate, unhappy, wretched
infelicito    make unhappy
infelico    make unhappy
infantia    infancy
infallibilis    infallible, not liable to err or lead into error
ineptus    silly, foolish
ineptio    play the fool, trifle
induco    lead in, bring in (performers)
industria    diligence, industry
indirectus    not direct
indies    from day to day
Indus    Indian, inhabitant of India
indago    track down, hunt out
incurro    run into or towards, attack, invade
incumbo    lean forward/over/on, press on
incultus    uncultivated (land), overgrown
inculco    force upon, impress, drive home
incredibilis    incredible
incognitus    unknown
incito    enrage
incidentia    incident/occurrence/happening
incertus    uncertain
incedo    advance, march
inaequalis    uneven
impudens    shameless, impudent
imprimo    impress, imprint
impressio    push, thrust, assault, onslaught
impono    impose, put upon
implico    involve, implicate
impleo    fill up
impius    wicked, impious, irreverent
impingo    thrust, strike or dash against
impietas    failure in duty or respect, etc
impendo    expend, spend
impello    drive/persuade/impel
impedimentum    hindrance, impediment
impatiens    impatient/intolerant (of)
impar    unequal (size/number/rank/esteem)
immutabilis    unchangeable/unalterable
immortal    immortal, god
immodicus    beyond measure, immoderate, excessive
immineo    threaten, be a threat (to)
immeritus    undeserving
imitatio    imitation, copy, mimicking
imbecillus    weak/feeble
imbecillis    weak/feeble
imaginarius    imaginary
illustro    illuminate, light up
illumino    illuminate, give light to
illuc    there, thither, to that place/point
illico    immediately
illaesus    uninjured
ignorantia    ignorance
humilis    low, lowly, small, slight, base, mean, humble, obscure, poor, insignificant
humaniter    reasonably, moderately
horror    shivering, dread, awe rigidity (from cold, etc)
horreo    dread, shrink from, shudder at
honor    honor
honestus    distinguished, reputable, respected, honorable, upright, honest
honesto    honour (with)
hodie    today, nowadays
historia    history
Hispanus    Spanish, of Spain
herus    master, lord
herba    herb, grass
Hebraeus    Hebrew, Jew
harmonia    harmony/concord
haereticus    heretic
haereo    stick, adhere, cling to
habitatio    lodging, residence
habitaculum    dewlling place
guberno    steer, drive, pilot, direct, manage, conduct, guide, control, govern
gravito    revolve
gratus    pleasing, acceptable, agreeable, welcome
gloriosus    glorious, full of glory
gladius    swordfish
gigno    give birth to, bring forth, bear
gestio    be eager, wish passionately
gero    bear, carry, wear
gener    son-in-law
genero    beget, father, produce, procreate
generaliter    generally, in general
generalis    general, generic
garrulus    talkative, loquacious
gallina    hen
furtum    theft
fur    thief, robber
fundus    farm
fundo    pour, cast (metals)
fundo    establish, found, begin
fungor    perform, execute, discharge (duty)
functio    execution, performance, carrying out (of a task)
fugo    put to flight, rout
frustro    disappoint, frustrate, deceive (w/false hope)
fruitio    enjoyment
frons    forehead, brow
frigidus    cold, cool, chilly, frigid
frequens    crowded
frango    break, shatter, crush
fortuitum    accidents (pl.), casualties
fortasse    perhaps, possibly
formaliter    formally
foedo    defile
fluctuo    rise in waves, surge, swell, undulate, fluctuate
flo    breathe
flecto    bend, curve, bow
firmo    strengthen, harden
finis    boundary, end, limit, goal
figura    shape, form, figure, image
figmentum    figment, fiction, invention, unreality
fidus    faithful, loyal
fides    faith, loyalty
ferreus    iron, made of iron
felix    happy
faveo    favor (w/DAT), befriend, support, back up
fames    hunger
fama    rumor
fallax    deceitful, treacherous
fetidus    foul-smelling, stinking
femina    woman
facies    shape, face, look
fabula    story, tale, fable
fabrico    build/construct/fashion/forge/shape
exulto    jump about
exuo    pull off
extinguo    quench, extinguish
extensio    span, hand-elbow
exspecto    lookout for, await
exsaturo    satisfy, sate, glut
expugno    assault, storm
exprobro    bring up as a reproach
explodo    drive (actor) off stage by clapping
expeto    ask for
expello    drive out, expel, banish
exigo    drive out, expel
exhaurio    draw out
citatorium    summoning before a tribunal
exerceo    exercise, train, drill, practice
excrementum    excrement
excipio    take out
exceptus    only
examino    weigh, examine, consider
examen    exam/test
evomo    vomit out
evidenter    clearly, obviously/manifestly/evidently
evidentia    evidence
everto    overturn, turn upside down
evado    evade, escape
ethica    ethics
etenim    and indeed, because, since, as a matter of fact (independent reason, emphasis)
essendio    make real
erubesco    redden, blush, blush at
eripio    snatch away, take by force
erectus    upright, erect
eques    horseman/cavalryman/rider
equinus    concerning horses
enuntio    reveal/divulge/make known/disclose
entitas    character/nature of being
ensis    sword
emendo    correct, emend, repair
eligo    pick out, choose
effluo    flow out, flow forth
effero    carry out
educo    bring up
educatio    bringing up
Ecclesiast    Ecclesiastes, Book of Bible/OT
duplex    twofold, double
duodecim     12 times, on 12 occasions - (ADVERB answers 'how often')
dulcis    pleasant, charming
dudum    little while ago
dubius    doubtful, dubious, uncertain
dormio    sleep, rest
dominus    owner, lord, master
domesticus    domestics (pl.), those of the household
domesticus    domestic, of the house
dives    rich man
divino    divine
distraho    draw/pull/tear apart, wrench, separate, (sub)divide
distractio    distraction
distinctio    distinction
dissimilis    unlike, different, dissimilar
dissentio    dissent, disagree
disputo    discuss, debate, argue
displiceo    displease
dispergo    scatter (about), disperse
disjungo    unyoke
discrimen    crisis, separating line, division
disciplina    teaching, instruction, education
dirus    fearful, cruel, awful, horrible
directio    direction/act of directing
dimoveo    separate
diligo    select, pick, single out
diligenter    carefully
dilato    make wider/broad, enlarge, extend, dilate
digredior    come/go away, depart
dignus    appropriate/suitable
dignosco    discern, distinguish, be able to separate
dignum    appropriate/suitable thing
digno    deem/consider/think worthy/becoming/deserving/fit (to)
digitus    finger
difficultas    difficulty
difficilis    difficult
dies    day
disco    learn
dicto    say repeatedly/often/frequently
diameter    diameter
dextera    right hand, right side
devotio    devotion of general/army to infernal gods for country
devincio    tie up, bind fast
detineo    detain, hold
detesto    call down solemn curse on, execrate
desisto    stop/cease/desist (from)
despicio    look down on/over
despero    despair (of)
desino    stop/end/finish, abandon/leave/break off, desist/cease
desideo    sit
desido    sink/settle down, subside
derivo    draw/lead off (river/fluid), divert/turn aside
depono    put/lay down/aside/away
deorsum    down, downwards, beneath, below
dens    tooth
denominatio    metonymy
demento    drive mad/crazy
deliberatio    deliberation/consultation (w/others), consideration
deleo    erase, wipe/scratch/remove (letters/marks), wipe/blot out, expunge, delete
dein    then/next/afterward
degenero    be inferior to ancestors/unworthy
desum    be wanting/lacking
deformitas    ugliness, deformity, blemish, disfigurement
deformis    deformed/illformed/misshapen/disfigured
defigo    sink/bury/stick/thrust (weapon)
deficio    fail, disappoint, let down
defendo    defend/guard/protect, look after
defectus    the_weak (pl.)
defectus    failure/lack
dedignatio    contempt
decoro    adorn/grace, embellish/add beauty to
decipio    cheat/deceive/mislead/dupe/trap
decet    it is fitting/right/seemly/suitable/proper
decanto    chant, recite singing
debilis    weak/feeble/frail
damno    pass/pronounce judgement, find guilty
curiositas    curiosity, inquisitiveness
curo    arrange/see/attend to
cupidus    eager/passionate
colo    live in (place), inhabit
culmen    height/peak/top/summit/zenith
crudelitas    cruelty/barbarity, harshness/severity, savagery/inhumanity
crucio    torment, torture
crimen    indictment/charge/accusation
creatio    begetting of children
creabilis    creatable, that can be made/created
corruptio    corruption
corruptibilis    corruptible, liable to decay, perishable
corrumpo    spoil/rot
corroboro    strengthen, harden, reinforce
corrigo    correct, set right
correpo    creep, crawl
corollaria    flower girl
cora    pupil of the eye
cor    heart
copia    plenty, abundance, supply
convinco    conquer, establish
converto    turn upside down/side-to-side
convenientia    agreement (things), consistency
convalo    grow strong/thrive/gain power
convalesco    grow strong/thrive/gain power
contraho    bring/draw together/in, assemble, collect/gather
contradico    gainsay/contradict
contradictorium    defense, speakng against
contorqueo    stir up/agitate, make rough (sea)
continuatio    continuation/succession/prolongation
continuo    make continuous (space/time)
contendo    stretch, draw tight, make taut
contemptus    contempt/scorn/despising (act/state)
consummo    add/reckon/total/sum/make up
consumo    burn up, destroy/kill
consulo    ask information/advice of
consueo    accustom
consuetudo    habit/custom/usage/way
constringo    bind fast/tight, tie up/together
consilium    debate/discussion/deliberation/consultation
consido    sit down/be seated
consideratio    gaze/inspection/act of looking
consequentia    logical consequence
connecto    join/fasten/link together, connect/associate
conjungo    connect, join/yoke together
conjunctum    connected word/proposition
conjicio    throw/put/pile together
conicio    throw/put/pile together
congratulor    congratulate
confuto    restrain, check, repress, dampen, suppress, diminish
confusio    mingling/mixture/union
confugio    flee (for refuge/safety/protection)
conflictus    clash, collision
confirmo    strengthen, develop, build up (w/troops)
confectus    with her litter (w/sus of a sow)
concurro    run/assemble/knock/snap together
concito    stir up, disturb
concilio    unite, bring together/about
conamen    effort, exertion
comprobo    approve, accept, sanction, ratify
comperio    learn/discover/find (by investigation)
compendium    summarised, abstract
comparatio    construction
commoveo    shake/stir up, agitate
commotus    movement
commodus    suitable, convenient, obliging
committo    bring together, unite/join, connect/attach
commissum    undertaking, enterprise
commisceo    intermingle, mix together/up, combine (ingredients)
commercium    trade/traffic/commerce (right/privilege)
commentum    invention
commendo    entrust, give in trust
comburo    burn up/away
color    color
colloquium    talk, conversation
collineo    align, direct, aim
collimo    direct (eyes) sideways
colligo    collect, assemble, bring/gather/hold/keep together
cognitus    act of getting to know/becoming acquainted with
codex    trunk of tree
clodo    close, shut, block up
claudo    close, shut, block up
claudeo    limp, stumble/falter/hesitate
clamito    cry out, yell
clamo    proclaim, declare
clam    secretly, in secret, unknown to
citus    quick, swift, rapid
circumago    drive/lead around
circulatio    circular course, revolution
Cicero    Cicero
Christus    Christ
certo    vie (with), contest, contend/struggle (at law/politics), dispute
certamen    contest, competition
cerno    sift, separate, distinguish, discern, resolve, determine
centrum    center (circle/sphere/earth)
celo    conceal, hide, keep secret
celeriter    quickly/rapidly/speedily
celeber    famous, celebrated, renowned
caveo    beware, avoid, take precautions/defensive action
cautum    provisions (pl.) (of a law)
causo    cause
castitas    chastity, fidelity
capio    take hold, seize
capto    try/long/aim for, desire
calidum    drink of wine and hot water (w/spices)
calculus    pebble
caeterus    the_other
caelus    heaven, sky, heavens
caelestis    heavenly, of heavens/sky, from heaven/sky
buris    plow beam, curved hinder part of plow
brevis    short, little, small, stunted
duo     2 times, on 2 occasions - (ADVERB answers 'how often')
bipes    two-footed
benignus    kind, favorable, obliging
beo    bless, make happy, gladden, delight
beatus    happy, fortunate, bringing happiness
be    baa (sound made by sheep)
avium    pathless region (pl.), wild waste, wilderness, desert
averto    turn away from/aside, divert, rout
aversio    loathing, abhorrence
auro    gild, overlay with gold
audax    bold, daring
auceps    bird-catcher, fowler
auctus    enlarged, large, abundant, ample
auctoritas    title (legal), ownership
aucto    increase/enlarge (much), grow
attigo    touch, touch/border on
attentio    attention, application, attentiveness
atrium    atrium, reception hall in a Roman house
asylum    place of refuge, asylum, sanctuary
astringo    tie up/down/back/on/together/tightly
assimilatio    likeness, similarity in form
assero    lay hands on/grasp
assequor    follow on, pursue, go after
aspernor    despise, scorn, disdain
asperum    uneven/rough/harsh place/land
asinus    ass, donkey
asina    she-ass
ascendo    climb
artifex    artist, actor
artificium    art/craft/trade
artificialis    artificial
articulus    joint
articulo    divide into distinct parts, articulate
arrideo    smile at/upon
armus    forequarter (of an animal), shoulder
arguo    prove, argue, allege
argutus    melodious, clear (sounds), ringing
argentum    silver
arena    sand, grains of sand
arduum    steep/high place, heights, elevation
ardeo    be on fire
Arctus    Big/Little Dipper/Bear, region of celestial pole
arbor    tree
arbitrium    arbitration
arater    plow
apto    adapt, fit, apply, adjust, accommodate
appello    drive to, move up, bring along, force towards
applaudo    strike together
appellum    appeal
anxius    anxious, uneasy, disturbed
antipathia    antipathy, aversion
antecello    surpass, excel
antecedo    precede, go before/ahead/in front of, attain before
annihilo    annihilate, destroy, demolish, ruin, bring to nothing
animo    animate, give/bring life
animadverto    pay attention to, attend to
analogus    proportional
amussis    ruler/straight edge (mason's/carpenter's)
ampla    opportunity
amoenitas    pleasantness, attractiveness, attraction, charm
amicus    friend, ally, disciple
amens    insane, demented, out of one's mind
ambulo    walk, take a walk, go on foot
ambio    go round, visit in rotation, inspect
amarum    bitterness
altitudo    height, altitude
alo    feed, nourish, rear, nurse, suckle
allicio    draw gently to, entice, lure, induce (sleep), attract, win over, encourage
aliunde    from another person/place, from elsewhere/a different source/cause/material
alienus    foreigner
alea    game of dice
ala    wing
ager    field, ground
agrestis    rustic, inhabiting countryside
aggredio    approach, advance
afflicto    shatter, damage, strike repeatedly, buffet, wreck
affingo    add to, attach
aestimatio    valuation, estimation of money value
aequitas    justice, equity, fairness, impartiality
aemulus    rival, competitor, love rival
aemulo    ape, imitate, emulate
aegretudo    sickness
aeger    sick person, invalid, patient
aegrum    diseased part of the body
aedifico    build, erect, construct, make
adversus    person/foe opposite/directly facing (w/hostile intent)
adversarium    temporary memorandum/account/day book (pl.)
adversa    enemy/adversary/opponent (female)
adolesco    grow up, mature, reach manhood/peak
adulatio    flattery, adulation
adsum    be near, be present, be in attendance, arrive, appear
adsigno    assign, distribute, allot
adorno    equip, get ready, prepare
adoro    honor, adore, worship, pay homage, reverence
admonitio    act of reminding
adjungo    add, attach, join to, add to, support
adimpleo    fill up (with)
adapto    adjust, modify
acuo    whet, sharpen, cut to a point
acumen    sharpened point, spur
actuosus    active, busy, energetic, full of life
actualitas    actuality
acquiro    acquire (goods/money/adherents), obtain, gain, get
accuratus    accurate, exact, with care, meticulous
accuro    take care of, attend to (duties/guests), give attention to
accido    cut, cut into/down/up, hack, hew, fell
accenseo    attach as an attendant to
accedo    come near, approach
abundo    abound (in), have in large measure
absentia    absence
abolesco    decay gradually, shrivel, wilt
aboleo    destroy, efface, obliterate
abhorreo    abhor, shrink back
